Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
CHEM601,Topics in Biological Chemistry,0,School of Biological and Chemical Sciences,2010/11,SEM2
DEN117,Aspects of Medical Engineering 1,45,School of Engineering & Material Science,2010/11,YEAR
FLM100,Introduction to Film Studies,76,School of Languages Linguistics and Film,2010/11,YEAR
ELE105,Introduction to Multimedia,1,School of Engineering & Computer Science,2010/11,SEM1
HST5300,The Age of Impressionism: Art in France and Britain 1860-1900,30,School of History,2010/11,SEM1
GEG7307,Hydrogeomorphology: River and Floodplain Appraisal and Management,6,School of Geography,2010/11,SEM2
EBU5374,Signals and Systems Theory,943,School of Engineering & Computer Science,2010/11,SEM2
CRSM011,Dissertation,1,School of History,2010/11,YEAR
DENM004,Computational Engineering,15,School of Engineering & Material Science,2010/11,SEM1
LLU101,Beginners' German I,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU223,Advanced Spanish II,0,School of Languages Linguistics and Film,2010/11,SEM1
RENM007,Dissertation,6,School of English & Drama - Department of English,2010/11,YEAR
SBC340,Integrative Studies in Psychological Sciences,0,School of Biological and Chemical Sciences,2010/11,YEAR
OLD75SC,SSC 5c (Elective) (99 curr),289,School of Medicine,2010/11,YEAR
PHY217,Vibrations and Waves,0,School of Physics & Astronomy,2010/11,SEM1
POL241A,War and Security in World Politics,2,School of Politics & International Relations,2010/11,SEM1
QLLM007,Banking Law,91,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM073A,Legal Aspects of International Finance,16,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
SBS757,Microbial Physiology and Growth,37,School of Biological and Chemical Sciences,2010/11,SEM2
CAN7013,Upper Limb Arthroscopy Skills,0,Barts Cancer Institute,2010/11,SEM1
DIN7103,Biomaterials in Prosthodontics,5,Dental School / Institute of Dentistry,2010/11,YEAR
HSP176A,Spanish I,1,School of Languages Linguistics and Film,2010/11,SEM1
LAW6003A,"Law and Globalisation: Companies, International Trade and Human Rights A",1,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
DCS453,C++ for Image Processing,0,School of Engineering & Computer Science,2010/11,SEM1
DIN7024,Cellular Pathology,14,Dental School / Institute of Dentistry,2010/11,YEAR
FLM502,"Film, Literature and Adaptation",18,School of Languages Linguistics and Film,2010/11,SEM2
GER100,Introductory German,4,School of Languages Linguistics and Film,2010/11,YEAR
WHRM905,Ethics and Regulation in Clinical Research,37,William Harvey Research Institute,2010/11,SEM2
RUS084NB,Russian III (N),0,School of Languages Linguistics and Film,2010/11,SEM2
HST5317,Race in the United States: Slavery To Civil Rights,47,School of History,2010/11,SEM1
HST7601,Dissertation - MA Modern and Contemporary British History,14,School of History,2010/11,YEAR
POR201,Brazilian Cinema: the Social Tradition,20,School of Languages Linguistics and Film,2010/11,SEM2
POR406,From Dictatorship to Revolution In Portugal's Cinema,16,School of Languages Linguistics and Film,2010/11,SEM2
RUS006,Introductory Russian,11,School of Languages Linguistics and Film,2010/11,YEAR
RUS027,Russian Vocabulary and Word-Formation,6,School of Languages Linguistics and Film,2010/11,SEM2
RUS070,Landmarks in Russian Literature,13,School of Languages Linguistics and Film,2010/11,YEAR
RUS084N,Russian III (N),1,School of Languages Linguistics and Film,2010/11,YEAR
GER623,Drama in German in the Twentieth Century,2,School of Languages Linguistics and Film,2010/11,SEM1
LAW6028A,Commercial and Consumer Law A,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
LAW6046,Origins of the Western Legal Tradition,4,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
LAWM001,Independent Research Project in Law,1,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
LAWM002,Theory and Method in Legal Scholarship,4,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
LAWM005,Medical Jurisprudence,0,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
LCMM042,Freud and Proust,12,School of English & Drama - Department of English,2010/11,SEM2
QLLM105B,Cyberspace Law B,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM2
QLLM122,European Union Tax Law,20,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
DIN7051,Epidemiology I: Methods,11,Dental School / Institute of Dentistry,2010/11,SEM1
DIN7053,Epidemiology II: Oral Health Trends,11,Dental School / Institute of Dentistry,2010/11,SEM2
DIN7056,Evidence-Based Dentistry and Critical Appraisal,11,Dental School / Institute of Dentistry,2010/11,SEM2
DIN7060,Introduction to Periodontics,4,Dental School / Institute of Dentistry,2010/11,SEM1
DIN7062,"Assessment, Diagnosis and Treatment Planning",4,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7107,Fixed Partial Dentures (Adhesive and Conventional),0,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7108,Removable Partial Dentures and Prefabricated Attachments,0,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7111,Implants and Prosthodontics,3,Dental School / Institute of Dentistry,2010/11,YEAR
QLLM210,Dissertation in Banking and Finance Law,34,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
BDS52A1,BDS Part 2 Section A,79,Dental School / Institute of Dentistry,2010/11,SEM1
BDS63B1,BDS Part 3 Section B,79,Dental School / Institute of Dentistry,2010/11,SEM1
CAT201,Desire and Society in Twentieth Century Catalan Literature,6,School of Languages Linguistics and Film,2010/11,SEM2
DEN319,Third Year Project (BEng/BSc(Eng)),0,School of Engineering & Material Science,2010/11,YEAR
MAT602,Materials Selection in Design,177,School of Engineering & Material Science,2010/11,SEM2
DENM025,Research Project in Sustainable Energy,21,School of Engineering & Material Science,2010/11,YEAR
MELM001,Medical Electronics and Physics Research Project,7,School of Engineering & Material Science,2010/11,YEAR
MTRM005,Materials Research Project,24,School of Engineering & Material Science,2010/11,YEAR
HST7315,Victors to Victims: Representing the Two World Wars in Britain,3,School of History,2010/11,SEM2
ELED002,Advanced Software Technologies,15,School of Engineering & Computer Science,2010/11,SEM1
ELED006,Multimedia Systems,11,School of Engineering & Computer Science,2010/11,SEM2
ELED014,Security and Authentication,14,School of Engineering & Computer Science,2010/11,SEM1
ELED019,Real Time Digital Signal Processing,0,School of Engineering & Computer Science,2010/11,SEM1
ELED035,Music Analysis and Synthesis,3,School of Engineering & Computer Science,2010/11,SEM2
ELED111,MSc Research Project,0,School of Engineering & Computer Science,2010/11,YEAR
ELED010,Project in Internet Computing/e-Commerce,18,School of Engineering & Computer Science,2010/11,YEAR
SML015,Presentations of London in Modern European Literature Film and Fine Art,49,School of Languages Linguistics and Film,2010/11,SEM2
PHY7004,Relativistic Waves and Quantum Fields,0,School of Physics & Astronomy,2010/11,SEM2
PHY912,Physics Investigative Project,1,School of Physics & Astronomy,2010/11,YEAR
GEG7401,Community Organising in Practice,10,School of Geography,2010/11,YEAR
DIN7104,Adhesive Dentistry,5,Dental School / Institute of Dentistry,2010/11,YEAR
CCDM013,Advanced Intellectual Property Issues: Protection of Computer Software,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM3
CCDM031,Information and Communications Technology and Competition Law,9,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
MAT316,Evaluation and Modelling of Dental Materials,20,School of Engineering & Material Science,2010/11,SEM2
WHR6024,The Sports and Exercise Medicine Research Project,0,William Harvey Research Institute,2010/11,SEM2
WHR6020,Injuries and Medical Problems in Sport,0,William Harvey Research Institute,2010/11,SEM1
DRA7708,Contemporary Theatre and Performance B,0,School of English & Drama - Department of Drama,2010/11,SEM2
WHR6022,Exercise as a Health Tool,0,William Harvey Research Institute,2010/11,SEM2
LIN403,Languages of the World,55,School of Languages Linguistics and Film,2010/11,SEM1
HST5207,The World of the Nun - Convent Culture in the Renaissance 2 Europe,4,School of History,2010/11,SEM2
MTH6104,Algebraic Structures II,0,School of Mathematical Sciences,2010/11,SEM1
DIN7174,Literature Review in Relation to Endodontic Practice,0,Dental School / Institute of Dentistry,2010/11,YEAR
WHR7022,Sport Injury Assessment 1,1,William Harvey Research Institute,2010/11,SEM1
WHR7024,Medical Problems in Sport,0,William Harvey Research Institute,2010/11,SEM2
WHR7026,Research Methods,1,William Harvey Research Institute,2010/11,SEM1
WHR7029,Exercise Physiology and Team Medicine,24,William Harvey Research Institute,2010/11,SEM1
WHR7025,Sports Injury Rehabilitation,0,William Harvey Research Institute,2010/11,SEM2
BBC3914,English 1,504,School of Engineering & Computer Science,2010/11,SEM1
BDS41A1,BDS Part 1 Section A,76,Dental School / Institute of Dentistry,2010/11,YEAR
MTRM002,Functional Materials in Medical Engineering,5,School of Engineering & Material Science,2010/11,SEM1
WHR6010,Vascular Pharmacology,10,William Harvey Research Institute,2010/11,SEM2
WHR7011,Supportive Care for Failing Organ Function,0,William Harvey Research Institute,2010/11,SEM3
JRN209,Visual Journalism: Photography and Video - City University,8,Module taken at City University London,2010/11,YEAR
LLU032,Further Italian,0,School of Languages Linguistics and Film,2010/11,YEAR
LLU043,Advanced Japanese,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU113,Advanced French I,0,School of Languages Linguistics and Film,2010/11,SEM2
LLU115,Higher-Further French I,1,School of Languages Linguistics and Film,2010/11,SEM1
LLU122,Further Spanish I,1,School of Languages Linguistics and Film,2010/11,SEM1
LLU125,Higher-Further Spanish I,0,School of Languages Linguistics and Film,2010/11,SEM2
LLU132,Further Italian I,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU201,Beginners' German II,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU205,Higher-Further German II,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU212,Further French II,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU213,Advanced French II,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU221,Beginners' Spanish II,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU235,Higher-Further Italian II,0,School of Languages Linguistics and Film,2010/11,SEM2
LLU241,Beginners' Japanese II,0,School of Languages Linguistics and Film,2010/11,SEM1
LLU243,Advanced Japanese II,0,School of Languages Linguistics and Film,2010/11,SEM2
LAW6001A,EU Justice and Home Affairs (A): Immigration and Asylum Law,1,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
POLM014,Democracy in Plural Societies,19,School of Politics & International Relations,2010/11,SEM2
WHRM901,Drug Discovery and Pre-Clinical Research and Development,33,William Harvey Research Institute,2010/11,SEM1
WHRM904,Practical Aspects of Clinical Research and Early Drug Devlopment,39,William Harvey Research Institute,2010/11,SEM2
WHRM907,Specific Topics in Clinical Trial Design,39,William Harvey Research Institute,2010/11,SEM3
WHRM910,Pharmaceutical and Healthcare Marketing,38,William Harvey Research Institute,2010/11,SEM1
WHRM916,Essential Therapeutics,1,William Harvey Research Institute,2010/11,SEM2
WHRM920,Laboratory Operation,0,William Harvey Research Institute,2010/11,SEM3
DIN7151,Dental Hard Tissues and their Microenvironment,21,Dental School / Institute of Dentistry,2010/11,YEAR
JRN007,French for Media (Upper Intermediate) - City University,0,Module taken at City University London,2010/11,YEAR
JRN016,German for Media (Intermediate) - City University,1,Module taken at City University London,2010/11,YEAR
JRN026,Spanish for Media (Intermediate) - City University,1,Module taken at City University London,2010/11,YEAR
JRN104,Introduction to Journalism - City University,0,Module taken at City University London,2010/11,YEAR
